,Movie_name,Genre,Director,Writer,Painter,Firm,Type,Color,Runtime,Year
199,"O olmasın, bu olsun","komediya, musiqili, məhəbbət",Hüseyn Seyidzadə,Sabit Rəhman,"Cəbrayıl Əzimov, Nadir Zeynalov",Bakı Kinostudiyası,tammetrajlı bədii film,rəngli,87.0,1956
200,Od içində,"dram, tarixi, macəra, məhəbbət",Şamil Mahmudbəyov,Əhmədağa Muğanlı,Kamil Nəcəfzadə,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,ağ-qara,65.0,1978
201,On yeddi yaşlı oğlan,"dram, bioqrafik, müharibə",Rüfət Şabanov,"Faiq Ağamalıyev, Vaxa Matiyev, V. Fyodorov",Arif Əbdürrəhmanov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,82.0,1986
202,Onu bağışlamaq olarmı?,"dram, detektiv, cinayət, musiqili, məhəbbət",Rza Təhmasib,Məmmədhüseyn Təhmasib,Nadir Zeynalov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,ağ-qara,92.0,1959
203,Onun bəlalı sevgisi,"dram, komediya, məhəbbət",Ziyafət Abbasov,"Bayram Bayramov, , İqor Strekov",Elbəy Rzaquliyev,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,72.5,1980
204,Onun böyük ürəyi,"dram, müharibə",Əjdər İbrahimov,İmran Qasımov,Elbəy Rzaquliyev,Bakı Kinostudiyası,tammetrajlı bədii film,ağ-qara,71.0,1958
206,OVSUNÇU,"dram, döyüş, macəra",Oqtay Mirqasımov,"Natiq Rəsulzadə, ,, Oqtay Mirqasımov, ,, Rüstəm İbrahimbəyov","Rafiz İsmayılov, ,, Rafiq Nəsirov",None,tammetrajlı bədii film,rəngli,97.0,2002
207,Ögey ana,"dram, macəra, uşaq",Həbib İsmayılov,"Həbib İsmayılov, ,, Anna Yan","Elbəy Rzaquliyev, ,, Məmməd Hüseynov",Bakı Kinostudiyası,tammetrajlı bədii film,ağ-qara,81.5,1958
208,Ölsəm... bağışla,"Dram, Məhəbbət",Rasim Ocaqov,Rüstəm İbrahimbəyov,Rafiz İsmayılov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,ağ-qara (rəngli kadrlarla),87.0,1989
209,Ölüm növbəsi,"faciəvi komediya, pritça",Fikrət Əliyev,"Fikrət Əliyev, İlqar Paşayev",Mais Ağabəyov,Sınaq Film Prodüser Mərkəzi,Tammetrajlı Bədii Film,rəngli,76.0,2009
210,Ölümünə bir saat qalmış,dram,Boris Svetlov,None,None,"""Filma"" Səhmdar Cəmiyyəti",qısametrajlı bədii film,ağ-qara,81.0,None
211,Ömrün ilk saatı,dram,Arif Babayev,Ramiz Fətəliyev,Fikrət Bağırov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,ağ-qara,95.5,1973
212,Ötən ilin son gecəsi,dram,Gülbəniz Əzimzadə,Anar Rzayev,Mayis Ağabəyov,"""Azərbaycanfilm"" kinostudiyası",tammetrajlı bədii film,rəngli,73.0,1983
